job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal,experience_years,salary_annual_inr
QA Intern,Growthify Digital,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹32,000/month","Manual Testing, JIRA, Test Cases","Exciting 2 Months internship at our Surat office! Learn Manual Testing, JIRA, Test Cases on real projects. PPO for outstanding performers.",QA / Software Testing,Full-time,2026-03-08,Internshala,0.0,
Excel & Data Analyst Intern,ZeroToOne Labs,"Surat, Gujarat, India (Hybrid)",Surat,1-3 years,"₹36,000/month","Tableau, SQL, Excel, Google Sheets","Apply for Excel & Data Analyst Intern at our Surat company! Work on projects using Tableau, SQL, Excel. Duration: 2 Months. Stipend provided.",Data Analytics,Full-time,2026-03-11,Internshala,1.0,
Junior Web Developer,CodeCraft Studio,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹4,500/month (Stipend)","HTML, CSS, JavaScript, Bootstrap","Exciting 3 Months internship at our Surat office! Learn HTML, CSS, JavaScript on real projects. PPO for outstanding performers.",Web Development,Internship,2026-03-06,Internshala,0.0,
Smart Contract Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Work From Office)",Surat,1-3 years,"₹39,000/month","Blockchain Fundamentals, Python, Cryptography","Apply for Smart Contract Intern at our Surat company! Work on projects using Blockchain Fundamentals, Python, Cryptography. Duration: 3 Months. Stipend provided.",Blockchain Development,Full-time,2026-03-14,Internshala,1.0,
Deep Learning Intern,DataHive Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹10,500/month (Stipend)","Python, TensorFlow, Keras, NumPy","We are looking for a passionate Deep Learning Intern in Surat. Great opportunity for students to gain hands-on experience with Python, TensorFlow, Keras. Certificate provided.",Artificial Intelligence / Machine Learning,Internship,2026-01-29,Internshala,0.0,
DevOps Intern,SkyNet Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Docker, Jenkins, Git, Linux","Exciting 2 Months internship at our Surat office! Learn Docker, Jenkins, Git on real projects. PPO for outstanding performers.",DevOps,Part-time,2026-03-10,Internshala,0.0,
Junior Software Engineer,PixelMind Technologies,"Surat, Gujarat, India (Work From Home)",Surat,1-3 years,Unpaid / Certificate Only,"Python, Flask, SQLite, REST API","Apply for Junior Software Engineer at our Surat company! Work on projects using Python, Flask, SQLite. Duration: 6 Months. Stipend provided.",Software Development,Full-time,2026-02-24,Internshala,1.0,
Excel & Data Analyst Intern,InnovateX Surat,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹12,000/month (Stipend)","Python, Pandas, Matplotlib, SQL","We are looking for a passionate Excel & Data Analyst Intern in Surat. Great opportunity for students to gain hands-on experience with Python, Pandas, Matplotlib. Certificate provided.",Data Analytics,Internship,2026-01-23,Internshala,0.0,
Full Stack Development Intern,StartupNest Surat,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹10,000/month (Stipend)","PHP, MySQL, HTML, CSS, JavaScript","Apply for Full Stack Development Intern at our Surat company! Work on projects using PHP, MySQL, HTML. Duration: 3 Months. Stipend provided.",Web Development,Internship,2026-02-18,Internshala,0.0,
Junior Web Developer,PixelMind Technologies,"Surat, Gujarat, India (Work From Home)",Surat,1-3 years,"₹33,500/month","PHP, MySQL, HTML, CSS, JavaScript","Apply for Junior Web Developer at our Surat company! Work on projects using PHP, MySQL, HTML. Duration: 1 Month. Stipend provided.",Web Development,Full-time,2026-02-01,Internshala,1.0,
Unity Developer Intern,MindBridge IT,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹18,000/month","Unity, C# Basics, 2D Game Design","We are looking for a passionate Unity Developer Intern in Surat. Great opportunity for students to gain hands-on experience with Unity, C# Basics, 2D Game Design. Certificate provided.",Game Development,Part-time,2026-02-14,Internshala,0.0,
Unity Developer Intern,SkyNet Solutions,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹6,000/month","Python, Pygame, Game Logic","Exciting 1 Month internship at our Surat office! Learn Python, Pygame, Game Logic on real projects. PPO for outstanding performers.",Game Development,Contract,2026-01-27,Internshala,0.0,
React Native Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹9,500/month (Stipend)","React Native, JavaScript, Expo","We are looking for a passionate React Native Intern in Surat. Great opportunity for students to gain hands-on experience with React Native, JavaScript, Expo. Certificate provided.",Mobile App Development,Internship,2026-03-23,Internshala,0.0,
SQL Developer Intern,WebCraft Agency,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹18,500/month","MySQL, SQL, Database Design","Exciting 3 Months internship at our Surat office! Learn MySQL, SQL, Database Design on real projects. PPO for outstanding performers.",Database Administration,Part-time,2026-02-03,Internshala,0.0,
Android Development Intern,InnovateX Surat,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹10,000/month","Flutter, Dart, Firebase","We are looking for a passionate Android Development Intern in Surat. Great opportunity for students to gain hands-on experience with Flutter, Dart, Firebase. Certificate provided.",Mobile App Development,Part-time,2026-03-21,Internshala,0.0,
IT Support Intern,Growthify Digital,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹10,000/month (Stipend)","Linux, Troubleshooting, MS Office","Join our startup as IT Support Intern and learn Linux, Troubleshooting, MS Office from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Technical Support / IT Operations,Internship,2026-01-29,Internshala,0.0,
Product Design Intern,ClearCode Technologies,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹19,500/month (Stipend)","Figma, Adobe XD, Canva","Exciting 2 Months internship at our Surat office! Learn Figma, Adobe XD, Canva on real projects. PPO for outstanding performers.",UI / UX Design,Internship,2026-02-12,Internshala,0.0,
Mobile App Development Intern,TechSprint Labs,"Surat, Gujarat, India (Work From Home)",Surat,1-3 years,"₹37,000/month","Flutter, Dart, Firebase","We are looking for a passionate Mobile App Development Intern in Surat. Great opportunity for students to gain hands-on experience with Flutter, Dart, Firebase. Certificate provided.",Mobile App Development,Full-time,2026-03-23,Internshala,1.0,
Figma Design Intern,StartupNest Surat,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹11,000/month (Stipend)","Figma, Prototyping, Wireframing","We are looking for a passionate Figma Design Intern in Surat. Great opportunity for students to gain hands-on experience with Figma, Prototyping, Wireframing. Certificate provided.",UI / UX Design,Internship,2026-03-14,Internshala,0.0,
NLP Intern,MindBridge IT,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹22,500/month","Python, Machine Learning, scikit-learn, Pandas","Join our startup as NLP Intern and learn Python, Machine Learning, scikit-learn from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Artificial Intelligence / Machine Learning,Full-time,2026-02-26,Internshala,0.0,
Android Development Intern,InnovateX Surat,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹10,000/month (Stipend)","Android, Java, XML, Firebase","We are looking for a passionate Android Development Intern in Surat. Great opportunity for students to gain hands-on experience with Android, Java, XML. Certificate provided.",Mobile App Development,Internship,2026-02-07,Internshala,0.0,
Mobile App Development Intern,TechSprint Labs,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹20,500/month","React Native, JavaScript, Expo","Join our startup as Mobile App Development Intern and learn React Native, JavaScript, Expo from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Mobile App Development,Part-time,2026-02-16,Internshala,0.0,
WordPress Developer Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹8,000/month (Stipend)","PHP, MySQL, HTML, CSS, JavaScript","We are looking for a passionate WordPress Developer Intern in Surat. Great opportunity for students to gain hands-on experience with PHP, MySQL, HTML. Certificate provided.",Web Development,Internship,2026-03-19,Internshala,0.0,
Junior Data Analyst,ByteForge Studio,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Tableau, SQL, Excel, Google Sheets","Join our startup as Junior Data Analyst and learn Tableau, SQL, Excel from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Data Analytics,Internship,2026-02-24,Internshala,0.0,
Frontend Development Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Office)",Surat,1-3 years,"₹43,000/month","HTML, CSS, JavaScript, Bootstrap","Join our startup as Frontend Development Intern and learn HTML, CSS, JavaScript from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Web Development,Full-time,2026-02-14,Internshala,1.0,
Data Science Trainee,StartupNest Surat,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹7,000/month","Python, scikit-learn, Jupyter Notebook","We are looking for a passionate Data Science Trainee in Surat. Great opportunity for students to gain hands-on experience with Python, scikit-learn, Jupyter Notebook. Certificate provided.",Data Science,Part-time,2026-01-24,Internshala,0.0,
React Developer Intern,TechSprint Labs,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹33,000/month","PHP, MySQL, HTML, CSS, JavaScript","Exciting 12 Months internship at our Surat office! Learn PHP, MySQL, HTML on real projects. PPO for outstanding performers.",Web Development,Full-time,2026-02-09,Internshala,0.0,
Ethical Hacking Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹7,500/month (Stipend)","Ethical Hacking, Wireshark, Linux","Exciting 12 Months internship at our Surat office! Learn Ethical Hacking, Wireshark, Linux on real projects. PPO for outstanding performers.",Cybersecurity,Internship,2026-03-07,Internshala,0.0,
Backend Development Intern,PixelMind Technologies,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹21,000/month","Python, Flask, SQLite, REST API","We are looking for a passionate Backend Development Intern in Surat. Great opportunity for students to gain hands-on experience with Python, Flask, SQLite. Certificate provided.",Software Development,Part-time,2026-02-20,Internshala,0.0,
Ethical Hacking Intern,WebCraft Agency,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹7,000/month (Stipend)","Network Security, Kali Linux, Nmap","Join our startup as Ethical Hacking Intern and learn Network Security, Kali Linux, Nmap from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Cybersecurity,Internship,2026-02-02,Internshala,0.0,
IT Support Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹11,500/month","Windows, Networking Basics, Hardware","Apply for IT Support Intern at our Surat company! Work on projects using Windows, Networking Basics, Hardware. Duration: 1 Month. Stipend provided.",Technical Support / IT Operations,Part-time,2026-02-20,Internshala,0.0,
Software Testing Intern,CodeCraft Studio,"Surat, Gujarat, India (Work From Office)",Surat,1-3 years,"₹27,000/month","Manual Testing, JIRA, Test Cases","Join our startup as Software Testing Intern and learn Manual Testing, JIRA, Test Cases from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",QA / Software Testing,Full-time,2026-01-29,Internshala,1.0,
Software Testing Intern,CodeCraft Studio,"Surat, Gujarat, India (Work From Office)",Surat,1-3 years,"₹39,500/month","Selenium, Java, TestNG, JUnit","Exciting 2 Months internship at our Surat office! Learn Selenium, Java, TestNG on real projects. PPO for outstanding performers.",QA / Software Testing,Full-time,2026-03-05,Internshala,1.0,
QA Intern,CodeCraft Studio,"Surat, Gujarat, India (Hybrid)",Surat,1-3 years,"₹28,000/month","Postman, API Testing, SQL","Exciting 12 Months internship at our Surat office! Learn Postman, API Testing, SQL on real projects. PPO for outstanding performers.",QA / Software Testing,Full-time,2026-02-19,Internshala,1.0,
Software Development Intern,SmartDev Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Python, Flask, SQLite, REST API","We are looking for a passionate Software Development Intern in Surat. Great opportunity for students to gain hands-on experience with Python, Flask, SQLite. Certificate provided.",Software Development,Full-time,2026-02-07,Internshala,0.0,
Java Developer Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹11,500/month (Stipend)","C++, DSA, OOP, Linux","Join our startup as Java Developer Intern and learn C++, DSA, OOP from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Software Development,Internship,2026-02-26,Internshala,0.0,
Full Stack Development Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹18,000/month (Stipend)","PHP, MySQL, HTML, CSS, JavaScript","Apply for Full Stack Development Intern at our Surat company! Work on projects using PHP, MySQL, HTML. Duration: 12 Months. Stipend provided.",Web Development,Internship,2026-02-11,Internshala,0.0,
Backend Development Intern,SkyNet Solutions,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹48,000/month","Java, OOP, Data Structures, MySQL","Apply for Backend Development Intern at our Surat company! Work on projects using Java, OOP, Data Structures. Duration: 12 Months. Stipend provided.",Software Development,Full-time,2026-03-10,Internshala,0.0,
Excel & Data Analyst Intern,SmartDev Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Tableau, SQL, Excel, Google Sheets","Exciting 3 Months internship at our Surat office! Learn Tableau, SQL, Excel on real projects. PPO for outstanding performers.",Data Analytics,Internship,2026-02-01,Internshala,0.0,
ETL Developer Intern,SmartDev Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹6,500/month","SQL, Python, MySQL, ETL Basics","We are looking for a passionate ETL Developer Intern in Surat. Great opportunity for students to gain hands-on experience with SQL, Python, MySQL. Certificate provided.",Data Engineering,Contract,2026-03-18,Internshala,0.0,
Automation Testing Intern,InnovateX Surat,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹9,000/month (Stipend)","Manual Testing, JIRA, Test Cases","Apply for Automation Testing Intern at our Surat company! Work on projects using Manual Testing, JIRA, Test Cases. Duration: 12 Months. Stipend provided.",QA / Software Testing,Internship,2026-02-13,Internshala,0.0,
Security Analyst Intern,InnovateX Surat,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹46,500/month","Ethical Hacking, Wireshark, Linux","Apply for Security Analyst Intern at our Surat company! Work on projects using Ethical Hacking, Wireshark, Linux. Duration: 2 Months. Stipend provided.",Cybersecurity,Full-time,2026-02-23,Internshala,0.0,
Figma Design Intern,Clickable Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹6,000/month (Stipend)","Figma, Prototyping, Wireframing","Apply for Figma Design Intern at our Surat company! Work on projects using Figma, Prototyping, Wireframing. Duration: 12 Months. Stipend provided.",UI / UX Design,Internship,2026-03-11,Internshala,0.0,
React Developer Intern,Nexus IT Hub,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹9,500/month (Stipend)","HTML, CSS, JavaScript, Bootstrap","We are looking for a passionate React Developer Intern in Surat. Great opportunity for students to gain hands-on experience with HTML, CSS, JavaScript. Certificate provided.",Web Development,Internship,2026-01-23,Internshala,0.0,
Web3 Intern,StartupNest Surat,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹10,000/month (Stipend)","Solidity Basics, Ethereum, Web3.js","Join our startup as Web3 Intern and learn Solidity Basics, Ethereum, Web3.js from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Blockchain Development,Internship,2026-03-22,Internshala,0.0,
Android Development Intern,DataHive Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹10,000/month (Stipend)","Flutter, Dart, Firebase","We are looking for a passionate Android Development Intern in Surat. Great opportunity for students to gain hands-on experience with Flutter, Dart, Firebase. Certificate provided.",Mobile App Development,Internship,2026-03-12,Internshala,0.0,
