job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal,experience_years,salary_annual_inr
Software Engineer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,0-1 years,3.6-4.0 LPA,"Java, Spring Boot, Microservices, REST API, MySQL, Docker, Kafka","We are looking for a passionate Software Engineer with expertise in Java, Spring Boot, Microservices to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Software Development,Full-time,2026-03-09,Naukri,0.0,380000.0
Oracle ERP Consultant,CMARIX Technolabs,"Surat, Gujarat, India",Surat,12+ years,52.7-68.9 LPA,"ServiceNow, ITSM, ITOM, HRSD, GRC, Flow Designer, Integration Hub","Exciting opportunity for a talented Oracle ERP Consultant at our Surat office. Working with ServiceNow, ITSM, ITOM, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",ERP / Enterprise Systems,Full-time,2026-03-10,Naukri,12.0,6080000.0
Performance Test Engineer,Softobiz Technologies,"Surat, Gujarat, India",Surat,4-6 years,10.2-11.5 LPA,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile, RTM","We are seeking an experienced Performance Test Engineer to join our Surat technology team. You will design, develop, and maintain scalable solutions using Manual Testing, JIRA, Test Cases. The ideal candidate brings strong problem-solving skills, clean coding practices, and experience working in an agile environment. Excellent communication and cross-team collaboration skills required.",QA / Software Testing,Full-time,2026-02-19,Naukri,4.0,1085000.0
Business Analyst,Synarion IT Solutions,"Surat, Gujarat, India",Surat,4-6 years,7.5-13.4 LPA,"Qlik Sense, SQL, Excel, Business Intelligence, ETL, Data Modeling","We are looking for a passionate Business Analyst with expertise in Qlik Sense, SQL, Excel to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Data Analytics,Full-time,2026-01-27,Naukri,4.0,1045000.0
IT Operations Engineer,iQlance Solutions,"Surat, Gujarat, India",Surat,2-3 years,4.2-8.3 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux, VMware","Exciting opportunity for a talented IT Operations Engineer at our Surat office. Working with L2 Support, ITIL, ServiceNow, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Technical Support / IT Operations,Full-time,2026-02-13,Naukri,2.0,625000.0
Backend Developer,Mindinventory,"Surat, Gujarat, India",Surat,5-8 years,15.2-21.4 LPA,"Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript, Prisma","Exciting opportunity for a talented Backend Developer at our Surat office. Working with Next.js, React, Node.js, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Web Development,Contract,2026-02-07,Naukri,5.0,1830000.0
Visual Designer,Tatvasoft,"Surat, Gujarat, India",Surat,1-3 years,Not Disclosed,"Figma, Zeplin, InVision, User Testing, Information Architecture","We are looking for a passionate Visual Designer with expertise in Figma, Zeplin, InVision to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",UI / UX Design,Full-time,2026-02-23,Naukri,1.0,
L2 Support Engineer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,3-5 years,8.6-15.6 LPA,"System Administrator, Linux, Windows, Networking, Shell Scripting, VMware","Exciting opportunity for a talented L2 Support Engineer at our Surat office. Working with System Administrator, Linux, Windows, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Technical Support / IT Operations,Full-time,2026-02-21,Naukri,3.0,1210000.0
Senior Frontend Developer,HData Systems,"Surat, Gujarat, India",Surat,5-7 years,Not Disclosed,"ASP.NET, C#, SQL Server, Angular, Entity Framework, Azure","We are looking for a passionate Senior Frontend Developer with expertise in ASP.NET, C#, SQL Server to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Web Development,Full-time,2026-02-28,Naukri,5.0,
React Native Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,2-4 years,8.3-15.0 LPA,"iOS, Swift, SwiftUI, Xcode, Core Data, ARKit, Combine","As a React Native Developer at our Surat facility, you will work on cutting-edge projects using iOS, Swift, SwiftUI. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Mobile App Development,Full-time,2026-03-18,Naukri,2.0,1165000.0
Oracle DBA,Tatvasoft,"Surat, Gujarat, India",Surat,5-7 years,18.7-25.2 LPA,"SQL Server, SSRS, SSIS, T-SQL, Database Administration, SSIS","Exciting opportunity for a talented Oracle DBA at our Surat office. Working with SQL Server, SSRS, SSIS, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Database Administration,Full-time,2026-02-16,Naukri,5.0,2195000.0
iOS Developer,Space-O Technologies,"Surat, Gujarat, India",Surat,2-4 years,7.3-12.9 LPA,"Android, Kotlin, MVVM, Hilt, Coroutines, Room, WorkManager","Join our growing team as a iOS Developer based in Surat. You will be responsible for building and maintaining high-quality software using Android, Kotlin, MVVM. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Mobile App Development,Full-time,2026-03-09,Naukri,2.0,1010000.0
System Administrator,Space-O Technologies,"Surat, Gujarat, India",Surat,1-3 years,4.4-6.5 LPA,"Technical Support, Windows Server, Active Directory, Help Desk, ITIL","Join our growing team as a System Administrator based in Surat. You will be responsible for building and maintaining high-quality software using Technical Support, Windows Server, Active Directory. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Technical Support / IT Operations,Full-time,2026-03-09,Naukri,1.0,545000.0
Generative AI Developer,QSS Technosoft,"Surat, Gujarat, India",Surat,5-8 years,Not Disclosed,"Python, TensorFlow, PyTorch, scikit-learn, Keras, NLP, Pandas, NumPy","Exciting opportunity for a talented Generative AI Developer at our Surat office. Working with Python, TensorFlow, PyTorch, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Artificial Intelligence / Machine Learning,Full-time,2026-02-04,Naukri,5.0,
Web Application Developer,Dev Technosys,"Surat, Gujarat, India",Surat,7-12 years,27.8-34.6 LPA,"PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap, Redis","As a Web Application Developer at our Surat facility, you will work on cutting-edge projects using PHP, Laravel, MySQL. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Web Development,Full-time,2026-02-22,Naukri,7.0,3120000.0000000005
Technical Support Analyst,Synarion IT Solutions,"Surat, Gujarat, India",Surat,1-2 years,4.3-7.8 LPA,"Cloud Support, AWS, Azure, Kubernetes, Docker, Linux, Monitoring","Join our growing team as a Technical Support Analyst based in Surat. You will be responsible for building and maintaining high-quality software using Cloud Support, AWS, Azure. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Technical Support / IT Operations,Full-time,2026-01-25,Naukri,1.0,605000.0
Performance Test Engineer,Uplers Solutions,"Surat, Gujarat, India",Surat,2-4 years,10.9-13.0 LPA,"JMeter, Performance Testing, Load Testing, Blazemeter, Gatling, k6","Join our growing team as a Performance Test Engineer based in Surat. You will be responsible for building and maintaining high-quality software using JMeter, Performance Testing, Load Testing. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",QA / Software Testing,Full-time,2026-03-19,Naukri,2.0,1195000.0
IT Operations Engineer,Arka Softwares,"Surat, Gujarat, India",Surat,7-10 years,28.1-38.5 LPA,"Technical Support, Windows Server, Active Directory, Help Desk, ITIL","We are looking for a passionate IT Operations Engineer with expertise in Technical Support, Windows Server, Active Directory to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Technical Support / IT Operations,Contract,2026-03-22,Naukri,0.0,3329999.9999999995
Data Science Analyst,Softobiz Technologies,"Surat, Gujarat, India",Surat,7-12 years,28.3-38.8 LPA,"Python, Predictive Modeling, Feature Engineering, Cross Validation, GridSearchCV","We are looking for a passionate Data Science Analyst with expertise in Python, Predictive Modeling, Feature Engineering to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Data Science,Full-time,2026-03-15,Naukri,7.0,3354999.9999999995
Analytics Consultant,Mindinventory,"Surat, Gujarat, India",Surat,2-4 years,8.8-13.9 LPA,"Metabase, SQL, Python, Google Analytics, A/B Testing, Mixpanel","We are looking for a passionate Analytics Consultant with expertise in Metabase, SQL, Python to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Data Analytics,Full-time,2026-02-10,Naukri,2.0,1135000.0000000002
Junior Data Scientist,Uplers Solutions,"Surat, Gujarat, India",Surat,2-3 years,6.8-8.2 LPA,"Python, Predictive Modeling, Feature Engineering, Cross Validation, GridSearchCV","We are looking for a passionate Junior Data Scientist with expertise in Python, Predictive Modeling, Feature Engineering to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Data Science,Full-time,2026-03-13,Naukri,2.0,750000.0
Network Architect,Softobiz Technologies,"Surat, Gujarat, India",Surat,7-12 years,23.3-34.0 LPA,"Cisco, CCNA, Routing, Switching, OSPF, BGP, MPLS, QoS","Join our growing team as a Network Architect based in Surat. You will be responsible for building and maintaining high-quality software using Cisco, CCNA, Routing. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Network Engineering,Full-time,2026-02-22,Naukri,7.0,2865000.0
Frontend Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,6-8 years,19.9-24.1 LPA,"Spring Boot, Java, Microservices, Kafka, Docker, Kubernetes, MySQL","Exciting opportunity for a talented Frontend Developer at our Surat office. Working with Spring Boot, Java, Microservices, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Web Development,Contract,2026-02-03,Naukri,6.0,2200000.0
