job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal
Django Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,7-10 years,22.0-38.0 LPA,"Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript","We are hiring a talented Django Developer for our Surat development centre. You will leverage your expertise in Next.js, React, Node.js to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Web Development,Full-time,2026-01-24,Naukri
Backend Engineer,WebMob Technologies,"Surat, Gujarat, India",Surat,3-5 years,10.3-14.2 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","We are looking for a passionate Backend Engineer to join our growing team in Surat. You will work with Go, Microservices, Docker and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Software Development,Full-time,2026-03-16,Indeed
Django Developer,IndiaNIC Infotech,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"Django, Python, PostgreSQL, React, REST API","We are looking for a passionate Django Developer to join our growing team in Surat. You will work with Django, Python, PostgreSQL and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Web Development,Contract,2026-02-21,Naukri
Mobile App Developer,Infosys BPO,"Surat, Gujarat, India",Surat,1-3 years,5.1-6.6 LPA,"React Native, JavaScript, Redux, Firebase, Expo","Seeking a motivated Mobile App Developer to strengthen our Surat team. Experience with React Native, JavaScript, Redux is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Mobile App Development,Part-time,2025-12-28,Glassdoor
Senior Data Scientist,ValueSoft Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹18,935/month","Python, Data Science, Machine Learning, SQL, Tableau","Join our dynamic IT team as a Senior Data Scientist. Responsibilities include designing, developing, and maintaining solutions using Python, Data Science, Machine Learning. Be part of an innovative team solving real-world problems for enterprise clients.",Data Science,Internship,2026-03-14,Indeed
Backend Developer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,3-5 years,11.5-15.5 LPA,"React, Node.js, JavaScript, HTML, CSS, MongoDB","Join our dynamic IT team as a Backend Developer. Responsibilities include designing, developing, and maintaining solutions using React, Node.js, JavaScript. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Full-time,2026-03-03,Indeed
Tableau Developer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,Not Disclosed,"Power BI, DAX, SQL Server, Excel, Power Query","We are looking for a passionate Tableau Developer to join our growing team in Surat. You will work with Power BI, DAX, SQL Server and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Analytics,Part-time,2026-03-10,Indeed
Senior Data Scientist,DigiPrima Technologies,"Surat, Gujarat, India",Surat,3-5 years,10.0-13.0 LPA,"Python, Data Science, Machine Learning, SQL, Tableau","Join our dynamic IT team as a Senior Data Scientist. Responsibilities include designing, developing, and maintaining solutions using Python, Data Science, Machine Learning. Be part of an innovative team solving real-world problems for enterprise clients.",Data Science,Full-time,2026-03-17,Indeed
PHP Developer,Infosys BPO,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.7-4.3 LPA,"Vue.js, Laravel, PHP, MySQL, REST API, Docker","Join our dynamic IT team as a PHP Developer. Responsibilities include designing, developing, and maintaining solutions using Vue.js, Laravel, PHP. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Full-time,2026-01-11,Indeed
Backend Developer,WebMob Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.7-3.9 LPA,"PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap","Seeking a motivated Backend Developer to strengthen our Surat team. Experience with PHP, Laravel, MySQL is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Contract,2026-03-18,Indeed
Senior Data Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,1-3 years,5.9-7.5 LPA,"Python, ETL, Hadoop, Hive, HDFS, Data Pipeline","We are hiring a talented Senior Data Engineer for our Surat development centre. You will leverage your expertise in Python, ETL, Hadoop to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Data Engineering,Contract,2026-02-21,Indeed
MySQL DBA,Tata Consultancy Services,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹9,002/month","MongoDB, Cassandra, Redis, NoSQL, Database Design","Exciting opportunity for an experienced MySQL DBA at our Surat office. The ideal candidate will have hands-on experience with MongoDB, Cassandra, Redis, excellent communication skills, and a track record of delivering projects on time.",Database Administration,Internship,2025-12-24,Indeed
Frontend Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,3-5 years,11.3-15.5 LPA,"Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript","Join our dynamic IT team as a Frontend Developer. Responsibilities include designing, developing, and maintaining solutions using Next.js, React, Node.js. Be part of an innovative team solving real-world problems for enterprise clients.",Web Development,Full-time,2025-12-29,Glassdoor
Junior Software Developer,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,4-6 years,14.0-21.9 LPA,"C#, .NET Core, ASP.NET, SQL Server, Angular","Seeking a motivated Junior Software Developer to strengthen our Surat team. Experience with C#, .NET Core, ASP.NET is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Software Development,Part-time,2026-03-20,Indeed
Angular Developer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.9-4.7 LPA,"Angular, TypeScript, Spring Boot, Java, MySQL","We are hiring a talented Angular Developer for our Surat development centre. You will leverage your expertise in Angular, TypeScript, Spring Boot to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Web Development,Contract,2026-01-17,Naukri
React Developer,Infosys BPO,"Surat, Gujarat, India",Surat,7-10 years,29.9-44.3 LPA,"Vue.js, Laravel, PHP, MySQL, REST API, Docker","Seeking a motivated React Developer to strengthen our Surat team. Experience with Vue.js, Laravel, PHP is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Contract,2026-02-26,Naukri
Flutter Developer,Softobiz Technologies,"Surat, Gujarat, India",Surat,1-3 years,5.3-6.7 LPA,"Android, Kotlin, Java, Retrofit, Room, Jetpack","Join our dynamic IT team as a Flutter Developer. Responsibilities include designing, developing, and maintaining solutions using Android, Kotlin, Java. Be part of an innovative team solving real-world problems for enterprise clients.",Mobile App Development,Contract,2026-01-12,Indeed
PHP Developer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹17,505/month","PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap","Seeking a motivated PHP Developer to strengthen our Surat team. Experience with PHP, Laravel, MySQL is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Internship,2026-02-13,Indeed
Software Developer,Dev Technosys,"Surat, Gujarat, India",Surat,10+ years,43.9-66.4 LPA,"C#, .NET Core, ASP.NET, SQL Server, Angular","Exciting opportunity for an experienced Software Developer at our Surat office. The ideal candidate will have hands-on experience with C#, .NET Core, ASP.NET, excellent communication skills, and a track record of delivering projects on time.",Software Development,Part-time,2026-03-02,Glassdoor
Product Designer,Softobiz Technologies,"Surat, Gujarat, India",Surat,1-3 years,Not Disclosed,"Adobe Illustrator, Figma, Motion Design, Design Systems","Join our dynamic IT team as a Product Designer. Responsibilities include designing, developing, and maintaining solutions using Adobe Illustrator, Figma, Motion Design. Be part of an innovative team solving real-world problems for enterprise clients.",UI / UX Design,Part-time,2026-02-20,LinkedIn
Product Manager,HData Systems,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹8,659/month","Product Strategy, Market Research, OKRs, Confluence, Agile","We are hiring a talented Product Manager for our Surat development centre. You will leverage your expertise in Product Strategy, Market Research, OKRs to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Product Management,Internship,2025-12-30,Glassdoor
IT Support Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,2-4 years,6.7-11.5 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","Seeking a motivated IT Support Engineer to strengthen our Surat team. Experience with L2 Support, ITIL, ServiceNow is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Technical Support / IT Operations,Full-time,2026-01-23,Glassdoor
System Administrator,IndiaNIC Infotech,"Surat, Gujarat, India",Surat,7-10 years,27.2-42.1 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are hiring a talented System Administrator for our Surat development centre. You will leverage your expertise in L2 Support, ITIL, ServiceNow to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Full-time,2026-02-16,Glassdoor
Computer Vision Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,4-6 years,13.2-18.7 LPA,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Join our dynamic IT team as a Computer Vision Engineer. Responsibilities include designing, developing, and maintaining solutions using Python, ML Engineer, MLflow. Be part of an innovative team solving real-world problems for enterprise clients.",Artificial Intelligence / Machine Learning,Full-time,2026-03-13,Glassdoor
React Developer,WebMob Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹9,963/month","Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript","We are hiring a talented React Developer for our Surat development centre. You will leverage your expertise in Next.js, React, Node.js to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Web Development,Internship,2026-01-23,Naukri
Business Analyst,ValueSoft Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹19,141/month","Tableau, SQL, Python, Google Analytics, Looker","We are looking for a passionate Business Analyst to join our growing team in Surat. You will work with Tableau, SQL, Python and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Analytics,Internship,2026-02-13,Glassdoor
Generative AI Developer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,3-5 years,9.7-12.1 LPA,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Join our dynamic IT team as a Generative AI Developer. Responsibilities include designing, developing, and maintaining solutions using Python, ML Engineer, MLflow. Be part of an innovative team solving real-world problems for enterprise clients.",Artificial Intelligence / Machine Learning,Full-time,2025-12-27,Glassdoor
AWS Solutions Architect,WebMob Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,3.3-3.9 LPA,"Azure, Azure DevOps, ARM Templates, Azure Functions","Seeking a motivated AWS Solutions Architect to strengthen our Surat team. Experience with Azure, Azure DevOps, ARM Templates is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Cloud Computing,Contract,2026-01-23,Glassdoor
Junior Software Developer,Softobiz Technologies,"Surat, Gujarat, India",Surat,3-5 years,11.0-13.5 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Join our dynamic IT team as a Junior Software Developer. Responsibilities include designing, developing, and maintaining solutions using Go, Microservices, Docker. Be part of an innovative team solving real-world problems for enterprise clients.",Software Development,Full-time,2026-01-29,Glassdoor
Software Engineer,Tata Consultancy Services,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,3.5-4.6 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","We are looking for a passionate Software Engineer to join our growing team in Surat. You will work with Go, Microservices, Docker and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Software Development,Full-time,2026-02-20,Indeed
Software Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,2-4 years,7.7-9.7 LPA,"Python, Django, REST API, PostgreSQL, Docker","We are looking for a passionate Software Engineer to join our growing team in Surat. You will work with Python, Django, REST API and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Software Development,Part-time,2026-02-04,Glassdoor
Backend Developer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,1-3 years,5.4-7.9 LPA,"Angular, TypeScript, Spring Boot, Java, MySQL","Seeking a motivated Backend Developer to strengthen our Surat team. Experience with Angular, TypeScript, Spring Boot is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Full-time,2026-02-26,Naukri
React Developer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,1-3 years,4.9-6.7 LPA,"React, Node.js, JavaScript, HTML, CSS, MongoDB","Seeking a motivated React Developer to strengthen our Surat team. Experience with React, Node.js, JavaScript is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Full-time,2026-02-08,Naukri
PHP Developer,Technosoft Solutions,"Surat, Gujarat, India",Surat,7-10 years,30.1-38.5 LPA,"Next.js, React, Node.js, PostgreSQL, GraphQL, TypeScript","We are hiring a talented PHP Developer for our Surat development centre. You will leverage your expertise in Next.js, React, Node.js to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Web Development,Part-time,2025-12-30,Indeed
Backend Engineer,Dev Technosys,"Surat, Gujarat, India",Surat,7-10 years,31.6-34.5 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Exciting opportunity for an experienced Backend Engineer at our Surat office. The ideal candidate will have hands-on experience with Go, Microservices, Docker, excellent communication skills, and a track record of delivering projects on time.",Software Development,Full-time,2026-02-20,Indeed
Computer Vision Engineer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹7,727/month","Python, NLP, BERT, GPT, Text Classification, spaCy","Join our dynamic IT team as a Computer Vision Engineer. Responsibilities include designing, developing, and maintaining solutions using Python, NLP, BERT. Be part of an innovative team solving real-world problems for enterprise clients.",Artificial Intelligence / Machine Learning,Internship,2026-02-24,Naukri
iOS Developer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,4-6 years,12.4-20.6 LPA,"Android, Kotlin, Java, Retrofit, Room, Jetpack","Exciting opportunity for an experienced iOS Developer at our Surat office. The ideal candidate will have hands-on experience with Android, Kotlin, Java, excellent communication skills, and a track record of delivering projects on time.",Mobile App Development,Contract,2026-02-21,Naukri
L2 Support Engineer,Tata Consultancy Services,"Surat, Gujarat, India",Surat,1-3 years,5.4-6.6 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are hiring a talented L2 Support Engineer for our Surat development centre. You will leverage your expertise in L2 Support, ITIL, ServiceNow to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Full-time,2026-01-22,Indeed
SDET,Mobisoft Infotech,"Surat, Gujarat, India",Surat,5-8 years,Not Disclosed,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile","We are hiring a talented SDET for our Surat development centre. You will leverage your expertise in Manual Testing, JIRA, Test Cases to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",QA / Software Testing,Part-time,2026-02-27,Indeed
Mobile App Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,3-5 years,11.9-14.1 LPA,"React Native, JavaScript, Redux, Firebase, Expo","Seeking a motivated Mobile App Developer to strengthen our Surat team. Experience with React Native, JavaScript, Redux is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Mobile App Development,Full-time,2026-03-11,Glassdoor
CI/CD Engineer,QSS Technosoft,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible","Seeking a motivated CI/CD Engineer to strengthen our Surat team. Experience with Docker, Kubernetes, Jenkins is mandatory. Participate in sprint planning, code reviews, and technical documentation.",DevOps,Full-time,2026-02-14,Indeed
Technical Support Analyst,Technosoft Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹11,607/month","L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are hiring a talented Technical Support Analyst for our Surat development centre. You will leverage your expertise in L2 Support, ITIL, ServiceNow to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Internship,2026-02-28,Indeed
IoT Developer,Technosoft Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹13,655/month","Arduino, Raspberry Pi, IoT, MQTT, Python, C++","We are looking for a passionate IoT Developer to join our growing team in Surat. You will work with Arduino, Raspberry Pi, IoT and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Embedded Systems / IoT,Internship,2025-12-26,Glassdoor
Full Stack Developer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,1-3 years,5.5-7.2 LPA,"Django, Python, PostgreSQL, React, REST API","Seeking a motivated Full Stack Developer to strengthen our Surat team. Experience with Django, Python, PostgreSQL is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Full-time,2026-02-23,LinkedIn
NLP Engineer,Dev Technosys,"Surat, Gujarat, India",Surat,4-6 years,15.1-20.0 LPA,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Seeking a motivated NLP Engineer to strengthen our Surat team. Experience with Python, ML Engineer, MLflow is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Artificial Intelligence / Machine Learning,Full-time,2026-02-25,Glassdoor
Product Designer,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,2-4 years,6.2-9.0 LPA,"Adobe Illustrator, Figma, Motion Design, Design Systems","Seeking a motivated Product Designer to strengthen our Surat team. Experience with Adobe Illustrator, Figma, Motion Design is mandatory. Participate in sprint planning, code reviews, and technical documentation.",UI / UX Design,Full-time,2026-01-06,LinkedIn
Data Analyst,DigiPrima Technologies,"Surat, Gujarat, India",Surat,4-6 years,16.6-20.9 LPA,"Power BI, SQL, Excel, Python, Data Visualization","Exciting opportunity for an experienced Data Analyst at our Surat office. The ideal candidate will have hands-on experience with Power BI, SQL, Excel, excellent communication skills, and a track record of delivering projects on time.",Data Analytics,Full-time,2025-12-29,Glassdoor
AWS Solutions Architect,Technosoft Solutions,"Surat, Gujarat, India",Surat,3-5 years,8.3-12.7 LPA,"Azure, Azure DevOps, ARM Templates, Azure Functions","Exciting opportunity for an experienced AWS Solutions Architect at our Surat office. The ideal candidate will have hands-on experience with Azure, Azure DevOps, ARM Templates, excellent communication skills, and a track record of delivering projects on time.",Cloud Computing,Full-time,2026-01-10,LinkedIn
Big Data Engineer,Dev Technosys,"Surat, Gujarat, India",Surat,4-6 years,14.7-19.2 LPA,"Python, Apache Spark, Kafka, Airflow, AWS, SQL","Seeking a motivated Big Data Engineer to strengthen our Surat team. Experience with Python, Apache Spark, Kafka is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Data Engineering,Full-time,2026-01-27,Glassdoor
Junior Data Scientist,Softvan Pvt Ltd,"Surat, Gujarat, India",Surat,3-5 years,Not Disclosed,"Python, R, Statistics, Pandas, NumPy, Matplotlib","Join our dynamic IT team as a Junior Data Scientist. Responsibilities include designing, developing, and maintaining solutions using Python, R, Statistics. Be part of an innovative team solving real-world problems for enterprise clients.",Data Science,Part-time,2026-01-16,Naukri
Product Designer,HData Systems,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹11,125/month","Figma, Adobe XD, Sketch, Prototyping, Wireframing","Join our dynamic IT team as a Product Designer. Responsibilities include designing, developing, and maintaining solutions using Figma, Adobe XD, Sketch. Be part of an innovative team solving real-world problems for enterprise clients.",UI / UX Design,Internship,2026-02-10,Naukri
Technical Support Analyst,HData Systems,"Surat, Gujarat, India",Surat,10+ years,49.2-62.1 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are hiring a talented Technical Support Analyst for our Surat development centre. You will leverage your expertise in L2 Support, ITIL, ServiceNow to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Part-time,2026-02-11,Indeed
Software Engineer,IndiaNIC Infotech,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹7,813/month","Go, Microservices, Docker, PostgreSQL, gRPC","We are looking for a passionate Software Engineer to join our growing team in Surat. You will work with Go, Microservices, Docker and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Software Development,Internship,2026-02-05,Glassdoor
UI/UX Designer,Dev Technosys,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.7-4.1 LPA,"Adobe Illustrator, Figma, Motion Design, Design Systems","Seeking a motivated UI/UX Designer to strengthen our Surat team. Experience with Adobe Illustrator, Figma, Motion Design is mandatory. Participate in sprint planning, code reviews, and technical documentation.",UI / UX Design,Full-time,2026-01-20,LinkedIn
React Developer,CMARIX Technolabs,"Surat, Gujarat, India",Surat,4-6 years,12.5-22.0 LPA,"PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap","We are hiring a talented React Developer for our Surat development centre. You will leverage your expertise in PHP, Laravel, MySQL to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Web Development,Contract,2026-01-23,Naukri
